Period,Project,District,CBS_Hierarchy,Description,Budget_Amount,Period_Spend,JTD_Spend,Forecast_Amount,Forecast_Change,SL_Variance
202408,106073,Kiewit Infrastructure Engineers,,"KIE-Francis Scott Key Bridge Replacement",,0.000000,0.000000,,,
202408,106073,Kiewit Infrastructure Engineers,1,"Financial Results Analysis",,0.000000,0.000000,,,
202408,106073,Kiewit Infrastructure Engineers,1.1,"Design Engineering Fees-Revenue/Margin",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2,"Engineering Scope",,0.000000,0.000000,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1,"Base Design",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.1,"Design Engineering Indirects",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.2,"Design Engineering Expenses",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.2.1,"Design Engineering - Expenses - Travel &",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.2.2,"Design Engineering - Expenses - Misc",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.2.3,"Design Engineering - Consultants",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.3,"Design Engineering Contingency/Managemen",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4,"Design Engineering Directs",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.1,"Design Engineering - Electrical",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.10,"Design Engineering - Geotechnical",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.11,"Design Engineering - Buildings",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.12,"Design Engineering - KPD",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.13,"Design Engineering - KIWE",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.2,"Design Engineering - Instrumentation and",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.3,"Design Engineering - Civil",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.4,"Design Engineering - Structural",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.5,"Design Engineering - Mechanical",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.6,"Design Engineering - Piping",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.7,"Design Engineering - Process",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.8,"Design Engineering - Process Safety",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.9,"Design Engineering - Environmental",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.2,"Design Engineering - G&A",,0.000000,0.000000,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.3,"Maintenance Manhour ST&S",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.4,"Maintain Equipment Temporary Holding",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.5,"Equipment Cost Under/Over Allocation",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.6,"Auto Excepted Cost",,,,,,
202408,106073,Kiewit Infrastructure Engineers,2,"Miscellaneous Revenue Internal",,,,,,
202408,106073,Kiewit Infrastructure Engineers,2.1,"Miscellaneous Revenue Internal",,,,,,
202408,106073,Kiewit Infrastructure Engineers,3,"Miscellaneous Revenue External",,,,,,
202408,106073,Kiewit Infrastructure Engineers,3.1,"Miscellaneous Revenue External",,,,,,
202408,106073,Kiewit Infrastructure Engineers,4,"Financial Results Exclusions",,,,,,
202408,106073,Kiewit Infrastructure Engineers,4.1,"Financial Results Exclusions",,,,,,
202408,106073,Kiewit Infrastructure Engineers,999999,"undefined wbs",,,,,,
202409,106073,Kiewit Infrastructure Engineers,,"KIE-Francis Scott Key Bridge Replacement",,64917.220000,64917.220000,64917.220000,-64917.220000,
202409,106073,Kiewit Infrastructure Engineers,1,"Financial Results Analysis",,64917.220000,64917.220000,64917.220000,-64917.220000,
202409,106073,Kiewit Infrastructure Engineers,1.1,"Design Engineering Fees-Revenue/Margin",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2,"Engineering Scope",,64917.220000,64917.220000,64917.220000,-64917.220000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1,"Base Design",,64917.220000,64917.220000,64917.220000,-64917.220000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.1,"WO#2 - Proof of Concept Preliminary Engi",,29228.300000,29228.300000,29228.300000,-29228.300000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.2,"WO#3 - Project Management & Key Staff",,34013.970000,34013.970000,34013.970000,-34013.970000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.3,"WO#3 - Contracts Management",,1674.950000,1674.950000,1674.950000,-1674.950000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.4,"WO#3 - Project Controls",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.5,"Expenses",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.5.1,"WO#2 - Expenses",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.5.2,"WO#3 - Expenses",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.6,"Design Engineering Contingency/Managemen",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.7,"Design Engineering Directs",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.7.1,"Design Engineering - Mechanical",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.7.10,"Design Engineering - Consultants",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.7.11,"Design Engineering - Instrumentation and",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.7.2,"Design Engineering - Piping",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.7.3,"Design Engineering - Process",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.7.4,"Design Engineering - Process Safety",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.7.5,"Design Engineering - Environmental",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.7.6,"Design Engineering - Geotechnical",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.7.7,"Design Engineering - Buildings",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.7.8,"Design Engineering - KPD",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.1.7.9,"Design Engineering - KIWE",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.2,"Design Engineering - G&A",,0.000000,0.000000,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.3,"Maintenance Manhour ST&S",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.4,"Maintain Equipment Temporary Holding",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.5,"Equipment Cost Under/Over Allocation",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,1.2.6,"Auto Excepted Cost",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,2,"Miscellaneous Revenue Internal",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,2.1,"Miscellaneous Revenue Internal",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,3,"Miscellaneous Revenue External",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,3.1,"Miscellaneous Revenue External",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,4,"Financial Results Exclusions",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,4.1,"Financial Results Exclusions",,,,,0.000000,
202409,106073,Kiewit Infrastructure Engineers,999999,"undefined wbs",,,,,,
202410,106073,Kiewit Infrastructure Engineers,,"KIE-Francis Scott Key Bridge Replacement",10657193.220000,1308311.910000,1373229.130000,10926217.940000,-204107.500000,33083304.541812646220
202410,106073,Kiewit Infrastructure Engineers,1,"Financial Results Analysis",10657193.220000,1294394.950000,1359312.170000,10914217.940000,-192107.500000,32649291.017472037945
202410,106073,Kiewit Infrastructure Engineers,1.1,"Pre-Construction Phase",8068961.760000,949367.300000,1014284.520000,8227479.210000,-93600.230000,
202410,106073,Kiewit Infrastructure Engineers,1.1.1,"Preconstruction Phase Expenses",315000.000000,10002.510000,10002.510000,315000.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.2,"Work Order #3 - Project Management",2179107.690000,216163.230000,251852.150000,2179107.690000,35688.920000,
202410,106073,Kiewit Infrastructure Engineers,1.1.2.1,"Kiewit Engineering",2179107.690000,216163.230000,251852.150000,2179107.690000,35688.920000,
202410,106073,Kiewit Infrastructure Engineers,1.1.2.1.1,"Design Manager",178634.850000,35324.400000,35324.400000,178634.850000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.2.1.2,"Design Management",625221.980000,96371.420000,130385.390000,625221.980000,34013.970000,
202410,106073,Kiewit Infrastructure Engineers,1.1.2.1.3,"Design Quality Management",267952.280000,15782.420000,15782.420000,267952.280000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.2.1.4,"Document Management",215145.080000,9827.110000,9827.110000,215145.080000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.2.1.5,"Commercial Management",535904.550000,42452.470000,44127.420000,535904.550000,1674.950000,
202410,106073,Kiewit Infrastructure Engineers,1.1.2.1.6,"Engineering Controls & Scheduling",307350.110000,14142.490000,14142.490000,307350.110000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.2.1.7,"Design Administrative Support",48898.840000,2262.920000,2262.920000,48898.840000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3,"Work Order #2 - Proof of Concept - Preli",5574854.070000,883414.820000,912643.120000,5733371.520000,-129289.150000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1,"Kiewit Engineering",2024537.200000,281671.810000,310900.110000,2183054.650000,-129289.150000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.1,"WO#2 - Proof of Concept Preliminary Engi",0.000000,14311.510000,43539.810000,0.000000,29228.300000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.2,"Roadway",409354.460000,62142.050000,62142.050000,409354.460000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.2.1,"POC Design Plans - Roadway",409354.460000,54880.390000,54880.390000,409354.460000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.2.2,"POC Design Plans - ITS",,7261.660000,7261.660000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.3,"Environmental",125017.160000,21226.130000,21226.130000,125017.160000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.3.1,"Environmental Compliance Plan",51285.120000,,,51285.120000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.3.2,"Environmental Coordination",73732.040000,21226.130000,21226.130000,73732.040000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.4,"Structural",1304912.040000,157803.900000,157803.900000,1304912.040000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.4.1,"POC Design Plans - North Approach",326765.410000,49031.250000,49031.250000,326765.410000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.4.2,"POC Design Plans - South Approach",326765.410000,30723.990000,30723.990000,326765.410000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.4.3,"POC Design Plans - Main Span",327109.850000,31099.320000,31099.320000,327109.850000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.4.4,"POC Design Plans - Pier Protection",15598.110000,,,15598.110000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.4.5,"Vessel Collisision Risk Analysis",14127.170000,,,14127.170000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.4.6,"Wind Assessment",5883.730000,,,5883.730000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.4.7,"Shared Use Path Study",71511.050000,,,71511.050000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.4.8,"Draft Service Life & Corrosion Plan",80699.820000,2814.950000,2814.950000,80699.820000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.4.9,"TSCD Engineering KIE - WO2 - Draft Demo",136451.490000,44134.390000,44134.390000,136451.490000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.5,"Geotechnical",135241.010000,19248.890000,19248.890000,135241.010000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.5.1,"Foundation Type Study",13235.850000,7343.810000,7343.810000,13235.850000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.5.2,"Geotechnical Reports",60341.830000,4416.350000,4416.350000,60341.830000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.5.3,"Field Investigation Plans",41767.910000,5584.300000,5584.300000,41767.910000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.5.4,"Pile Load Testing Report",19895.420000,1904.430000,1904.430000,19895.420000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.6,"Stormwater Management, Drainage, and Ero",50012.530000,4023.680000,4023.680000,50012.530000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.6.1,"Concept Stormwater Management Plan",24369.420000,1005.630000,1005.630000,24369.420000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.6.2,"POC Design Plans - Temporary Drainage",7342.300000,,,7342.300000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.6.3,"POC Design Plans - Permanent Drainage",18300.810000,3018.050000,3018.050000,18300.810000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.7,"TSCD",,2915.650000,2915.650000,158517.450000,-158517.450000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.1.7.1,"POC Design - Mod 1 - Trestle Design",,2915.650000,2915.650000,158517.450000,-158517.450000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.10,"MP ENGINEERS",,2354.750000,2354.750000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.10.1,"Work Order #2 - Proof of Concept - Preli",,2354.750000,2354.750000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.10.1.1,"Structural",,2354.750000,2354.750000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.10.1.1.1,"POC Design Plans - Sign Structures",,2354.750000,2354.750000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.10.1.1.2,"POC Design Plans - Ancillary Structures",,,,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11,"DRIVE ENGINEERING",,112895.040000,112895.040000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11.1,"Work Order #2 - Proof of Concept - Preli",,112895.040000,112895.040000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11.1.1,"Traffic",,71377.540000,71377.540000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11.1.1.1,"Traffic Operations and Engineering Desig",,55083.460000,55083.460000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11.1.1.2,"POC Design Plans - Signage",,7380.180000,7380.180000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11.1.1.3,"POC Design Plans - Pavement Markings",,,,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11.1.1.4,"Draft Street Lighting Plan",,8913.900000,8913.900000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11.1.2,"Maintenance of Traffic (MOT)",,3089.080000,3089.080000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11.1.2.1,"Draft Transportation Management Plan",,688.290000,688.290000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11.1.2.2,"POC Design Plans - MOT",,2400.790000,2400.790000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11.1.3,"Intelligent Transportation Systems (ITS)",,38428.420000,38428.420000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11.1.3.1,"Draft ITS Master Plan",,7299.060000,7299.060000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11.1.3.2,"Systems Engineering Requirements Trackin",,17940.860000,17940.860000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11.1.3.3,"POC Design Plans - Temporary ITS",,,,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.11.1.3.4,"POC Design Plans - Permanent ITS",,13188.500000,13188.500000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.12,"SUYASH",,29940.260000,29940.260000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.12.1,"Work Order #2 - Proof of Concept - Preli",,29940.260000,29940.260000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.12.1.1,"Stormwater Management, Drainage, and Ero",,29940.260000,29940.260000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.12.1.1.1,"Concept Stormwater Management Plan",,27412.360000,27412.360000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.12.1.1.2,"Concept Soil & Errosion Plan",,2382.960000,2382.960000,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.12.1.1.3,"POC Design Plans - Temporary Drainage",,,,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.12.1.1.4,"POC Design Plans - Permanent Drainage",,144.940000,144.940000,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.13,"FLOURA TEETER",,,,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.13.1,"Work Order #2 - Proof of Concept - Preli",,,,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.13.1.1,"Landscaping",,,,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.13.1.1.1,"Draft Vegetation Protection Plan",,,,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.13.1.1.2,"POC Design Plans - Vegetation Restoratio",,,,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.13.1.1.3,"POC Design Plans - Landscaping",,,,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.14,"NAVARRO & WRIGHT",,4232.280000,4232.280000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.14.1,"Work Order #2 - Proof of Concept - Preli",,4232.280000,4232.280000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.14.1.1,"Pavement",,,,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.14.1.1.1,"Draft Pavement Investigation Planning Re",,,,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.14.1.2,"Structural",,4232.280000,4232.280000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.14.1.2.1,"POC Design Plans - Retaining Walls",,4232.280000,4232.280000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.2,"SYSTRA/IBT",1457847.230000,189428.440000,189428.440000,1457847.230000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.2.1,"Work Order #2 - Proof of Concept - Preli",1457847.230000,189428.440000,189428.440000,1457847.230000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.2.1.1,"Structural",1457847.230000,189428.440000,189428.440000,1457847.230000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.2.1.1.1,"POC Design Plans - North Approach",39048.830000,,,39048.830000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.2.1.1.2,"POC Design Plans - South Approach",39048.830000,,,39048.830000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.2.1.1.3,"POC Design Plans - Main Span",1068476.830000,171477.850000,171477.850000,1068476.830000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.2.1.1.4,"POC Design Plans - Pier Protection",79713.790000,,,79713.790000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.2.1.1.5,"Vessel Collisision Risk Analysis",27594.080000,,,27594.080000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.2.1.1.6,"Wind Assessment",49268.100000,,,49268.100000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.2.1.1.7,"Shared Use Path Study",154696.770000,17950.590000,17950.590000,154696.770000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.3,"GZA",502798.210000,129674.500000,129674.500000,502798.210000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.3.1,"Work Order #2 - Proof of Concept - Preli",502798.210000,129674.500000,129674.500000,502798.210000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.3.1.1,"Geotechnical",502798.210000,129674.500000,129674.500000,502798.210000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.3.1.1.1,"Foundation Type Study",52432.350000,24123.100000,24123.100000,52432.350000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.3.1.1.2,"Geotechnical Reports",251912.790000,21735.170000,21735.170000,251912.790000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.3.1.1.3,"Field Investigation Plans",147981.410000,43650.920000,43650.920000,147981.410000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.3.1.1.4,"Pile Load Testing Report",50471.660000,40165.310000,40165.310000,50471.660000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.4,"RWDI",271960.560000,29364.220000,29364.220000,271960.560000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.4.1,"Work Order #2 - Proof of Concept - Preli",271960.560000,29364.220000,29364.220000,271960.560000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.4.1.1,"Structural",271960.560000,29364.220000,29364.220000,271960.560000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.4.1.1.1,"Wind Assessment",271960.560000,29364.220000,29364.220000,271960.560000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.5,"BAIRD",489005.160000,78191.930000,78191.930000,489005.160000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.5.1,"Work Order #2 - Proof of Concept - Preli",489005.160000,78191.930000,78191.930000,489005.160000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.5.1.1,"Structural",148463.840000,40558.140000,40558.140000,148463.840000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.5.1.1.1,"Vessel Collisision Risk Analysis",148463.840000,40558.140000,40558.140000,148463.840000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.5.1.2,"Hydraulics and Hydrology (H&H)",340541.320000,37633.790000,37633.790000,340541.320000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.5.1.2.1,"Draft H&H Report",200163.430000,34830.530000,34830.530000,200163.430000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.5.1.2.2,"Draft Scour Analysis Report",140377.890000,2803.260000,2803.260000,140377.890000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.6,"DONALD MACDONALD",202731.200000,10745.000000,10745.000000,202731.200000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.6.1,"Work Order #2 - Proof of Concept - Preli",202731.200000,10745.000000,10745.000000,202731.200000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.6.1.1,"Aesthetics",202731.200000,10745.000000,10745.000000,202731.200000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.6.1.1.1,"Draft Visual Quality Plan",101365.600000,10745.000000,10745.000000,101365.600000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.6.1.1.2,"2D and 3D Visualizations and Renderings",101365.600000,,,101365.600000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.7,"COWI",625974.510000,,,625974.510000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.7.1,"Work Order #2 - Proof of Concept - Preli",625974.510000,,,625974.510000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.7.1.1,"Structural",625974.510000,,,625974.510000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.7.1.1.1,"POC Design Plans - Pier Protection",361557.210000,,,361557.210000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.7.1.1.2,"Vessel Collisision Risk Analysis",264417.300000,,,264417.300000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.8,"STRAUGHAN",,10229.710000,10229.710000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.8.1,"Work Order #2 - Proof of Concept - Preli",,10229.710000,10229.710000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.8.1.1,"Environmental",,10229.710000,10229.710000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.8.1.1.1,"Environmental Coordination",,10229.710000,10229.710000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.9,"HLB",,4686.880000,4686.880000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.9.1,"Work Order #2 - Proof of Concept - Preli",,4686.880000,4686.880000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.9.1.1,"Aesthetics",,4686.880000,4686.880000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.9.1.1.1,"Draft Visual Quality Lighting Plan",,4686.880000,4686.880000,0.000000,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.3.9.1.1.2,"2D and 3D Visualizations and Renderings",,,,,,
202410,106073,Kiewit Infrastructure Engineers,1.1.4,"Work Order #4 - Precon Field Work",,,,,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.4.1,"Seismic Survey Vibration Analysis",,,,,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.5,"Work Order #7 - Security Design",,,,,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.5.1,"Thornton & Tomasetti",,,,,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.5.1.1,"WO#7 TVRA",,,,,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.6,"Work Order #8",,4125.660000,4125.660000,,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.6.1,"Kiewit Engineering",,4125.660000,4125.660000,,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.6.1.1,"WO#8 - Pile Load Testing",,4125.660000,4125.660000,,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.1.7,"JOR Adjustment",,-164338.920000,-164338.920000,,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.2,"TSCD - Pre-Con",,,,,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.2.1,"24-227-TSCD Engineering (KIE) - PRECON",,,,,0.000000,
202410,106073,Kiewit Infrastructure Engineers,1.3,"G&A",2588231.460000,345027.650000,345027.650000,2686738.730000,-98507.270000,-1280.682054794521
202410,106073,Kiewit Infrastructure Engineers,1.3.1,"G&A",2588231.460000,345027.650000,345027.650000,2686738.730000,-98507.270000,-1280.682054794521
